AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving;parametergroep
292;(massa)Concentratie cadmium in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Cd;cadmium;metals
421;(massa)Concentratie cadmium in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Cd;cadmium;metals
134;(massa)Concentratie gamma-hexachloorcyclohexaan (lindaan) in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;cHCH;gamma-hexachloorcyclohexaan (lindaan);contaminants
298;(massa)Concentratie chlorofyl-a in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;CHLFa;chlorofyl-a;eutrophication
305;(massa)Concentratie cis-heptachloorepoxide in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;cHpClepO;cis-heptachloorepoxide;contaminants
299;(massa)Concentratie chryseen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Chr;chryseen;contaminants
137;(massa)Concentratie chloride in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Cl;chloride;salinity
297;(massa)Concentratie chloride in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Cl;chloride;salinity
129;(massa)Concentratie chloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;ClBen;chloorbenzeen;contaminants
406;(massa)Concentratie chlooretheen (vinylchloride) in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;ClC2e;chlooretheen (vinylchloride);contaminants
13;(massa)Concentratie chloordaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Cldn;chloordaan;contaminants
393;(massa)Concentratie chloorfenvinfos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Clfvfs;chloorfenvinfos;contaminants
249;(massa)Concentratie chloorazijnzuur in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;ClHAc;chloorazijnzuur;contaminants
7;(massa)Concentratie chloridazon in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Clidzn;chloridazon;contaminants
240;(massa)Concentratie chloorprofam in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Clpfm;chloorprofam;contaminants
112;(massa)Concentratie chloortoluron in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Cltlrn;chloortoluron;contaminants
178;(massa)Concentratie cyanide in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;CN;cyanide;contaminants
366;(massa)Concentratie kobalt in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Co;kobalt;metals
422;(massa)Concentratie kobalt in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Co;kobalt;metals
375;(massa)Concentratie koolstof organisch in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Corg;koolstof organisch;eutrophication
300;(massa)Concentratie chroom in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Cr;chroom;metals
367;(massa)Concentratie chroom in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Cr;chroom;metals
301;(massa)Concentratie koper in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Cu;koper;metals
423;(massa)Concentratie koper in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Cu;koper;metals
211;(massa)Concentratie cumafos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;cumfs;cumafos;contaminants
18;(massa)Concentratie cumeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;cumn;cumeen;contaminants
85;(massa)Concentratie Chemisch zuurstofverbruik in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;CZV;Chemisch zuurstofverbruik;eutrophication
126;(massa)Concentratie Chemisch zuurstofverbruik in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);CZV;Chemisch zuurstofverbruik;eutrophication
63;(massa)Concentratie diazinon in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Daznn;diazinon;contaminants
127;(massa)Concentratie dibenzo(a,h)antraceen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DBahAnt;dibenzo(a,h)antraceen;contaminants
10;(massa)Concentratie dimethylamine in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DC1yAe;dimethylamine;contaminants
71;(massa)Concentratie diethylamine in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;DC2yAe;diethylamine;contaminants
218;(massa)Concentratie dibutyltin (kation) in Oppervlaktewater uitgedrukt in Tin in ng/l;ng/l;nanogram per liter;CONCTTE;(massa)Concentratie;Sn;uitgedrukt in Tin;DC4ySn;dibutyltin (kation);contaminants
